Clube,Temporada,Pontos_Previstos
CR Flamengo,2025,59.9
SE Palmeiras,2025,68.08
SC Corinthians,2025,57.34
Botafogo FR,2025,58.12
Atlético Mineiro,2025,52.67
SC Internacional,2025,59.19
São Paulo FC,2025,57.63
CR Vasco da Gama,2025,55.21
Cruzeiro EC,2025,57.83
Fluminense FC,2025,47.64
Grêmio FBPA,2025,50.51
EC Bahia,2025,51.82
RB Bragantino,2025,44.64
Athletico Paranaense,2025,45.58
Fortaleza EC,2025,61.63
Atlético Goianiense,2025,34.17
Criciúma EC,2025,40.39
EC Vitória,2025,45.08
Cuiabá EC,2025,34.12
EC Juventude,2025,43.14
